time,link,display name,likes,shares,saves,comments
2024-02-12,https://www.tiktok.com/t/ZPRErJ36h/,TRT World,"6,883",542,"1,133","1,257"
2024-01-18,https://www.tiktok.com/t/ZPREMvbF8/,Clout News,16.9K,957,"1,047",347
2023-08-23,https://www.tiktok.com/t/ZPREr6ANw/,PRCONSERVATIVE,24.2K,"2,889","2,142",847
2023-10-09,https://www.tiktok.com/t/ZPRErjyuV/,Sky News,500.2K,"8,960",37.6K,19.2K
2023-11-03,https://www.tiktok.com/t/ZPREr17Ea/,Republican Content Only 🇺🇲,24.3K,428,"2,360","1,913"
2024-05-23,https://www.tiktok.com/t/ZPREMnnwf/,MrBallen,64,1,2,3
2023-11-14,https://www.tiktok.com/t/ZPREM7tQv/,America First News,62.1K,"2,450","5,133","5,247"
2023-09-02,https://www.tiktok.com/t/ZPREMWb7s/,44vato🇲🇽,30.9K,"4,353","3,562","2,517"
2024-01-19,https://www.tiktok.com/t/ZPREMWLbJ/,Sam,123K,812,"7,982","1,378"
2023-04-06,https://www.tiktok.com/t/ZPREMovT8/,CHARPMedia,23K,423,974,"1,666"
2023-06-17,https://www.tiktok.com/t/ZPREMEB8U/,Vivek Truth,75.9K,"4,258","5,561","3,543"
2023-01-26,https://www.tiktok.com/t/ZPREMWUft/,Shez,"8,892",219,631,246
2023-10-18,https://www.tiktok.com/t/ZPRErRynE/,SocialSociety,"5,615",80,448,277
2023-10-14,https://www.tiktok.com/t/ZPRErYoYf/,USA TODAY,68.1K,"1,901","3,727","4,994"
2022-09-22,https://www.tiktok.com/t/ZPREreQtk/,CatchUp,"3,942",85,365,233
2023-12-06,https://www.tiktok.com/t/ZPRErjt2M/,America First News,385.8K,10K,31.1K,12.1K
2023-11-12,https://www.tiktok.com/t/ZPREM343j/,directduty,661,9,74,34
2023-11-03,https://www.tiktok.com/t/ZPREMwx7b/,hazardboysmedia5,76K,"2,938","6,552","7,161"
2023-09-18,https://www.tiktok.com/t/ZPREMvs5m/,Meet the Press,15.8K,"1,243",909,"1,625"
2024-01-15,https://www.tiktok.com/t/ZPREr8ou9/,nbcnews,378.4K,11.9K,18.9K,"6,979"
2023-07-07,https://www.tiktok.com/t/ZPREMcPkR/,Lawrence K.,"8,014","1,297",713,"3,520"
2023-12-30,,Political Commentator Kaivan,"7,145",239,428,495
2024-01-03,https://www.tiktok.com/t/ZPRErYrPL/,Freedom.On.Fire,164.7K,12.5K,13.6K,"7,459"
2023-02-03,https://www.tiktok.com/t/ZPRErNX5Y/,Dragonjuicewpulp,31.1K,"1,350","1,039","4,715"
2024-01-17,https://www.tiktok.com/t/ZPREMcxXv/,JoeWHOAGan,490.9K,"6,372",28.7K,12.8K
2023-05-03,https://www.tiktok.com/t/ZPRErd5tQ/,USA 2024,73.6K,"1,121","6,216",794
2023-10-30,https://www.tiktok.com/t/ZPREr6QUR/,hazardboysmedia,11.2K,477,"1,353","3,526"
2024-02-10,https://www.tiktok.com/t/ZPRErNxmr/,Mr Ballen FanClub,944,16,53,59
2024-06-11,,raney_techie,250,1,,7
2023-10-31,https://www.tiktok.com/t/ZPREMTSJU/,CapitolHillHighlights,"9,606","3,066","1,592","6,388"
2023-10-31,,The Trumpest,"5,032",272,417,655
2023-10-05,,GoodMorningBritain,554.9K,15.6K,38.8K,13.4K
2022-10-26,https://www.tiktok.com/t/ZPREr8Asb/,dailygenz,"1,208",517,258,14
2023-08-13,https://www.tiktok.com/t/ZPREMK4u5/,Liberal,"1,585",56,197,233
2024-02-21,https://www.tiktok.com/t/ZPREMWyG8/,FloridaHillbilly,913,19,46,37
2023-04-15,https://www.tiktok.com/t/ZPRErY9DS/,CashCommander,"3,037",460,449,158
2023-10-06,https://www.tiktok.com/t/ZPREr6H9F/,Daily Mail UK,298.1K,11.1K,27.3K,"5,989"
2022-08-12,https://www.tiktok.com/t/ZPREM3usa/,All Things UK Politics!,12.4K,162,"1,664",308
2023-11-30,https://www.tiktok.com/t/ZPRErF2RH/,Politics and Conspiracies,196.9K,14.5K,21.4K,"5,716"
2023-12-04,https://www.tiktok.com/t/ZPREMwxBJ/,Dominicsdad,35K,622,"3,729",225
2023-08-24,https://www.tiktok.com/t/ZPREr1Ay9/,Revoke Far-Left,645.1K,43.5K,40.9K,13.4K
2023-07-21,https://www.tiktok.com/t/ZPRErYyA3/,Vivek Highlights,"3,269",354,361,979
2024-01-11,https://www.tiktok.com/t/ZPREM3BFn/,USA TODAY,52.9K,"2,764","3,046","7,070"
2023-09-16,,Yahoo News,"1,845",39,121,235
2023-11-01,https://www.tiktok.com/t/ZPRErMXH4/,💜🩵SARA🩵💜,"4,233",737,583,"3,601"
2023-04-10,https://www.tiktok.com/t/ZPRErLrmo/,kevanlawrence7,35.8K,"1,924","3,789","1,744"
2022-02-27,https://www.tiktok.com/t/ZPREMEaho/,Brut.,2.6M,97.6K,130.2K,57K
2023-11-01,https://www.tiktok.com/t/ZPREMKcDD/,Meet the Press,17.1K,840,"1,809","2,525"
2023-12-15,https://www.tiktok.com/t/ZPREMneCh/,America First News,"3,104",142,128,426
2023-05-30,https://www.tiktok.com/t/ZPRErLunC/,nessa,21.5K,"1,095","1,590","1,249"
2022-10-19,https://www.tiktok.com/t/ZPREre23u/,Yahoo News,353.4K,"2,213",18K,"4,394"
2023-10-02,,Deepak Ahluwalia,"1,470",311,245,189
2022-09-04,https://www.tiktok.com/t/ZPREMWokm/,Michael Pettit,11.1K,62,904,"1,140"
2023-08-25,https://www.tiktok.com/t/ZPREMTBKB/,Shawn Ryan Show,"3,926",148,314,93
2023-05-11,https://www.tiktok.com/t/ZPRErjPfq/,CNN,1.5M,62.4K,114K,42.7K
2022-11-10,https://www.tiktok.com/t/ZPRErFovK/,SQ,203.9K,"2,977",17.2K,"7,781"
2023-08-23,https://www.tiktok.com/t/ZPRErRSCo/,Proactive Thinker,173K,"6,348",21K,"2,687"
2024-04-10,https://www.tiktok.com/t/ZPREMn53P/,America First News,818,26,60,77
2024-05-03,https://www.tiktok.com/t/ZPREMoXtd/,Rantsta,76.9K,18.6K,"7,524",10.7K
2023-09-19,https://www.tiktok.com/t/ZPREMcdRH/,VivekMoments,33,1,0,1
2023-07-02,https://www.tiktok.com/t/ZPRErYw2w/,Life__Interresting_News 🫶,26.4K,876,"1,885",776
2024-06-03,https://www.tiktok.com/t/ZPRErMy5j/,Daily News Today,"1,280",226,228,176
2023-09-23,https://www.tiktok.com/t/ZPREMtG9w/,L I K A,"3,857",126,482,57
2024-03-23,https://www.tiktok.com/t/ZPREMTGPn/,PaulDaniel026,155.9K,"5,631","9,492","4,180"
2024-06-17,https://www.tiktok.com/t/ZPRErd2bG/,TODAY Show,"1,022",376,126,60
2023-09-21,https://www.tiktok.com/t/ZPREMw3yD/,C-SPAN,274.2K,"5,054",17K,16K
2023-07-23,https://www.tiktok.com/t/ZPRErdUDM/,D.Frost,"6,645",145,583,110
2024-06-14,https://www.tiktok.com/t/ZPREreG8F/,💛Anto&Enki 💛,826,314,168,29
2023-06-21,https://www.tiktok.com/t/ZPRErLKXN/,The Officer Tatum,108.9K,"5,152","9,217","3,262"
2023-08-07,https://www.tiktok.com/t/ZPREMws2c/,💕 Change The System 💕,628,243,68,380
2023-05-31,https://www.tiktok.com/t/ZPREMTwYV/,NBCSouthFlorida,"1,883",543,205,716
2023-09-28,https://www.tiktok.com/t/ZPREr1an8/,44vato🇲🇽,213.2K,10.4K,24.9K,10K
2022-08-18,https://www.tiktok.com/t/ZPREr6oFB/,David Alan Arnold,124.8K,"3,954","8,815","3,913"
2023-08-14,,CapitolHillHighlights,"1,732",84,178,400
2023-11-08,https://www.tiktok.com/t/ZPRErJQNt/,MSNBC,67K,"1,414","2,003","6,221"
2023-05-10,https://www.tiktok.com/t/ZPREMEtLu/,alii_michelle,"1,079",50,62,96
2023-06-05,https://www.tiktok.com/t/ZPREr6sDa/,JR20,160.9K,"1,818",13.5K,"8,066"
2023-08-24,https://www.tiktok.com/t/ZPREr16ma/,Sleepwithhorror,"5,787","1,325","1,142",835
2024-02-06,https://www.tiktok.com/t/ZPRErFF3n/,Holli Would,28.9K,"1,204","1,102","3,667"
2023-08-21,https://www.tiktok.com/t/ZPREMTRpa/,Cuts,144.2K,"5,511",16.7K,"2,590"
2023-09-16,https://www.tiktok.com/t/ZPREMWQKW/,IslandSmooth🌴,"2,030",110,144,130
2022-07-30,https://www.tiktok.com/t/ZPRErNyAf/,ISTANBUL media✅,162K,20.9K,"4,814","2,201"
2022-10-17,https://www.tiktok.com/t/ZPRErNCuW/,superCreamTV,944.2K,10.7K,96.7K,"5,363"
2023-09-04,https://www.tiktok.com/t/ZPREMKdax/,USA 2024,327.7K,18.3K,30.3K,"3,446"
2023-05-14,https://www.tiktok.com/t/ZPREMcEq6/,Shock 😱,"1,536",199,232,147
2021-09-12,https://www.tiktok.com/t/ZPREME8Nt/,Justin Buffamante,"5,104",501,220,774
2024-04-21,https://www.tiktok.com/t/ZPRErNULw/,Smittybuck1,19.4K,830,"1,516",667
2021-10-10,https://www.tiktok.com/t/ZPREMwA7G/,Blackmarketvikings humboldt,437,16,10,11
2023-06-14,https://www.tiktok.com/t/ZPREMvKxr/,Hunter Biden’s Laptop 2.0,"2,658",171,262,139
2024-03-18,https://www.tiktok.com/t/ZPRErjjrY/,Jade | Gen Z Career Tips 💸,"1,059",114,606,19
2023-06-17,https://www.tiktok.com/t/ZPRErRRfX/,Georadio,110.8K,"6,017","8,137","3,224"
2024-06-14,https://www.tiktok.com/t/ZPREr69w6/,The Sun,58.2K,25.2K,"6,265",14.2K
2022-04-26,https://www.tiktok.com/t/ZPREMEYWH/,American Bridge 21st Century,847,31,21,203
2023-12-02,https://www.tiktok.com/t/ZPRErMNT4/,Elaaf Alkadah,1.1M,116.7K,85.8K,36.8K
2022-08-25,https://www.tiktok.com/t/ZPREMTkWm/,thegeneralstore03,"4,591",207,803,53
2023-12-27,https://www.tiktok.com/t/ZPRErj5f6/,Richard Nuggets 2,36.1K,"1,322","2,579","1,644"
2024-06-17,https://www.tiktok.com/t/ZPRErYYBK/,Daily Mail,166.3K,28.5K,10.1K,"6,864"
2023-10-10,,James Creek,"1,442",23,110,"1,218"
2023-09-13,https://www.tiktok.com/t/ZPREMwfUq/,JacobMCarter,254,85,43,32
2023-10-25,https://www.tiktok.com/t/ZPREMcUSC/,Ifunny,12.7K,"2,458","4,004",198
2021-04-13,https://www.tiktok.com/t/ZPREr8Lca/,We are a newspaper.,333.6K,"4,455","5,623","4,754"
2024-03-25,https://www.tiktok.com/t/ZPREr1uMn/,GunGnome_,"6,257","1,118",470,389
2023-10-02,https://www.tiktok.com/t/ZPREr8ktd/,Latinus,16.4K,553,916,219
2023-09-10,,Meghan Elinor,28.5K,256,"1,216","2,832"
2024-01-19,https://www.tiktok.com/t/ZPRErd7Xe/,EthericPhenomena,"2,005",74,265,56
2024-03-10,https://www.tiktok.com/t/ZPREMKCJQ/,Tik Bazaar tok,"5,580",162,549,988
2023-04-04,https://www.tiktok.com/t/ZPREr1Cp2/,Harry,212.9K,"4,180","7,169","5,642"
2023-11-26,https://www.tiktok.com/t/ZPREMw8Yt/,Meghan Elinor,"9,072",61,354,802
2023-04-16,https://www.tiktok.com/t/ZPRErF1cj/,brettcooper_,86.1K,331,"4,135","2,035"
2022-09-22,https://www.tiktok.com/t/ZPREMKtGg/,Takvim,"3,188",670,607,89
2024-05-16,https://www.tiktok.com/t/ZPREMTXhm/,Harry,14.9K,"1,028","1,051","5,827"
2023-09-24,https://www.tiktok.com/t/ZPRErRgUH/,Meghan Elinor,"7,460",77,366,957
2023-04-28,https://www.tiktok.com/t/ZPREM746j/,Victor Nieves,45.5K,"2,747","4,078","2,923"
2024-05-26,https://www.tiktok.com/t/ZPRErJHjX/,buffalobl00d,78,2,17,22
