time,link,display name,likes,shares,saves,comments
2024-03-08,https://www.tiktok.com/t/ZPREr1dAJ/,Cat,479K,"1,570",17.9K,"4,992"
2024-01-27,https://www.tiktok.com/t/ZPREr1dq4/,MAGA,630,28,43,37
2024-01-23,https://www.tiktok.com/t/ZPRErd6NN/,RaspySause,20.9K,"1,889","1,449","4,659"
2024-05-30,,MSNBC,65.4K,"1,279","2,817",10.4K
2023-04-08,https://www.tiktok.com/t/ZPRErd32W/,FULL SEND Podcast,25.2K,88,770,469
2024-06-01,https://www.tiktok.com/t/ZPREM3ttm/,4ThePeopleByThePeople,"1,393",35,46,113
2023-06-09,https://www.tiktok.com/t/ZPREMcd78/,Donald_Newshd,534.2K,"4,397",31.5K,"3,532"
2023-06-20,https://www.tiktok.com/t/ZPREMW6tL/,USA 2024,77.6K,542,"4,242",768
2023-02-24,https://www.tiktok.com/t/ZPRErjy4J/,RepublicanVotersAgainstTrump,12.8K,536,391,"3,015"
2024-01-30,https://www.tiktok.com/t/ZPREr1q8C/,J-Walk Journalism,87.1K,"2,441","5,590",10.1K
2023-07-17,https://www.tiktok.com/t/ZPREMcbxj/,tomasito,471,91,104,29
2023-12-13,https://www.tiktok.com/t/ZPRErFtYg/,americanpied,"5,249",528,496,"3,442"
2023-08-29,https://www.tiktok.com/t/ZPREMWrfk/,Tucker Carlson Uncensored,"4,645",43,323,311
2024-06-14,https://www.tiktok.com/t/ZPREM3qnG/,TheRepublicanJournal,33.8K,13.1K,"3,549","2,147"
2022-11-12,https://www.tiktok.com/t/ZPRErd6L9/,The Trumpest,109K,"2,106","9,205","3,655"
2024-05-22,https://www.tiktok.com/t/ZPREMwJ6Q/,💕 Change The System 💕,"7,153",274,586,599
2023-04-10,https://www.tiktok.com/t/ZPREMcX9L/,Cancel GQP,"3,308",118,260,"1,183"
2024-02-10,https://www.tiktok.com/t/ZPREMcUQE/,Mike,"5,607",227,373,513
2021-11-15,https://www.tiktok.com/t/ZPRErNMsn/,Trump and Biden recaps,62.8K,296,"2,211","3,010"
2023-10-07,https://www.tiktok.com/t/ZPREMKsfK/,Jason Scoop,16.3K,177,769,176
2023-02-17,https://www.tiktok.com/t/ZPREM7D5U/,The Daily Show,559.1K,30.6K,21.7K,"9,555"
2024-06-12,https://www.tiktok.com/t/ZPREreRkg/,NowThis Impact,"2,286",56,77,203
2023-05-17,https://www.tiktok.com/t/ZPREMKEuU/,Alex,470.5K,"9,678",37K,"3,130"
2023-03-26,https://www.tiktok.com/t/ZPREr83Gx/,Bandit 7878,157.2K,11K,13.2K,"4,300"
2024-01-22,https://www.tiktok.com/t/ZPRErMAJK/,Subject Matter,405.4K,"7,764",18.1K,"8,118"
2023-05-20,https://www.tiktok.com/t/ZPREM7PGG/,Camhigby 🐈,165.5K,"1,668",11.2K,"2,451"
2023-11-05,https://www.tiktok.com/t/ZPRErNh9g/,Supreme Shorts,275.1K,"1,174",17.2K,"1,802"
2023-10-06,https://www.tiktok.com/t/ZPREMwPrt/,USA 2024,469.8K,"7,410",56.2K,"5,273"
2023-04-18,https://www.tiktok.com/t/ZPREMWgPc/,MomBoredom,"4,057",197,440,145
2024-05-02,https://www.tiktok.com/t/ZPREM3e7h/,Mr. Cobretti Truth Seeker,"1,311",298,170,"1,083"
2023-09-13,https://www.tiktok.com/t/ZPRErdMT5/,IG nelsonmiaa,43.5K,747,"5,038",332
2023-08-23,https://www.tiktok.com/t/ZPREr26Kt/,MikeFulahopeFanpage,41.3K,637,"4,061",769
2024-06-23,https://www.tiktok.com/t/ZPRErerTT/,TheEvilLeftist,"2,482",93,94,365
2023-03-28,https://www.tiktok.com/t/ZPREMKDN6/,🇺🇸❤️BamaGirl❤️🇺🇸,34.8K,"5,406","2,704","1,016"
2023-05-16,https://www.tiktok.com/t/ZPREMcKGd/,BU,292.6K,25K,16.2K,13.2K
2023-03-30,https://www.tiktok.com/t/ZPREM7Xem/,Stars & Stripes,128K,"3,412",13.4K,"2,477"
2023-04-29,https://www.tiktok.com/t/ZPRErdoKE/,47th POTUS,1.3M,31K,131.2K,"9,994"
2023-09-22,https://www.tiktok.com/t/ZPREMor4Q/,Bartstop,"1,000",107,76,191
2023-04-11,https://www.tiktok.com/t/ZPREMc4Jw/,Harry,71.2K,"5,319","4,164","4,429"
2024-05-22,https://www.tiktok.com/t/ZPREr2k9V/,MSNBC,31.1K,"2,356","1,703","6,393"
2023-02-15,https://www.tiktok.com/t/ZPREr1JxT/,Brut.,606.7K,18.2K,38.6K,31.7K
2024-05-30,https://www.tiktok.com/t/ZPREM7uVw/,RealGaryRuot,"6,508",238,226,"2,575"
2024-01-29,https://www.tiktok.com/t/ZPREr2ydj/,2024_DonaldTrump,"6,157",289,563,330
2023-10-19,https://www.tiktok.com/t/ZPREr8xBw/,Akpuruka TV,13K,764,"1,898",309
2023-03-28,https://www.tiktok.com/t/ZPRErjoLx/,C-SPAN,941.9K,166.3K,89.7K,39.1K
2023-03-28,https://www.tiktok.com/t/ZPREMKAk7/,CHARPMedia,292K,14.5K,17.1K,"4,024"
2024-06-13,https://www.tiktok.com/t/ZPREr6B64/,Hal_for_NY__,"4,679",119,190,538
2022-02-27,https://www.tiktok.com/t/ZPREMErVk/,Brut.,2.6M,97.6K,130.2K,57K
2021-10-05,https://www.tiktok.com/t/ZPRErNhsM/,The Good Liars,543.2K,"1,561","7,501","3,670"
2023-10-21,https://www.tiktok.com/t/ZPREMTseF/,/𝐌𝐀𝐄𝐊𝐒/,662.4K,14K,95.4K,"4,394"
2024-05-04,https://www.tiktok.com/t/ZPRErYQaf/,Patrick Bet-David,268K,15K,17.1K,"4,151"
2023-03-29,https://www.tiktok.com/t/ZPREM7HtC/,Entrtainmenthub,656.4K,42.9K,35.2K,"1,815"
2023-11-18,https://www.tiktok.com/t/ZPRErREG8/,RepublicanReflections,"6,306","1,517",794,752
2023-04-21,https://www.tiktok.com/t/ZPREr15jb/,Kyle Forgeard,632.3K,13K,42.3K,"5,673"
2024-05-30,https://www.tiktok.com/t/ZPRErFnpc/,TopChad,106,8,11,24
2023-05-26,https://www.tiktok.com/t/ZPREME2YJ/,adam mockler,14.8K,204,489,342
2023-12-11,,Junior G,"2,103",75,156,0
2023-07-23,https://www.tiktok.com/t/ZPREMWEwP/,Classified Conservative,75.9K,"2,791","4,512","3,414"
2023-11-07,https://www.tiktok.com/t/ZPRErJfoR/,doc rich,37.2K,"1,593","2,508","2,944"
2023-08-27,https://www.tiktok.com/t/ZPREMcTVh/,donaldtrumpfans07,13.5K,322,833,"1,947"
2024-06-13,https://www.tiktok.com/t/ZPREMc1ev/,peteredison97,130,30,18,108
2023-02-01,https://www.tiktok.com/t/ZPRErRPNf/,David Pakman,449.3K,"6,141",24.1K,15.5K
2023-12-01,https://www.tiktok.com/t/ZPRErjkxb/,Unwoke Shop ™,242.7K,"6,863",16K,"8,368"
2024-04-15,https://www.tiktok.com/t/ZPRErLJkC/,Xuxubesto,903,44,123,52
2022-01-21,,ElectionStory,"1,270",10,43,36
2023-08-12,https://www.tiktok.com/t/ZPRErJa3V/,brainrotpolitics,28.7K,223,"2,356","1,261"
2024-03-06,https://www.tiktok.com/t/ZPRErLx73/,noticias23news,154,14,11,51
2024-02-07,https://www.tiktok.com/t/ZPREMca6h/,Polypolitics,87,2,5,18
2024-05-24,https://www.tiktok.com/t/ZPREMtKT7/,Triggering Conservatives,"3,995",167,232,"2,706"
2024-06-03,https://www.tiktok.com/t/ZPREMwPnu/,CoolBreez54,358,80,20,66
2023-09-13,https://www.tiktok.com/t/ZPREMKo8P/,🎙️Ike Wingate🇺🇸,"1,259",53,147,331
2024-06-24,https://www.tiktok.com/t/ZPREM7AAA/,Paddythepanda,126,1,1,40
2021-05-28,https://www.tiktok.com/t/ZPREMoS2m/,REPUBLICAN,"7,332",86,250,255
2023-10-08,https://www.tiktok.com/t/ZPREM3G2L/,OutrightPower,"4,086",221,225,181
2023-10-08,https://www.tiktok.com/t/ZPRErjp5P/,OutrightPower,"4,086",221,225,181
